ORDER_DATE,COUNT
2022-06-06,1221
2022-06-07,1369
2022-06-08,1341
2022-06-09,1150
2022-06-10,1070
2022-06-11,986
2022-06-12,1111
2022-06-13,1173
2022-06-14,1389
2022-06-15,1278
2022-06-16,1313
2022-06-17,1230
2022-06-18,1121
2022-06-19,1103
2022-06-20,1263
2022-06-21,1294
2022-06-22,1220
2022-06-23,1238
2022-06-24,1218
2022-06-25,1039
2022-06-26,1114
2022-06-27,2619
2022-06-28,2282
2022-06-29,1799
2022-06-30,1453
2022-07-01,1347
2022-07-02,1379
2022-07-03,1213
2022-07-04,1242
2022-07-05,1222
2022-07-06,1264
2022-07-07,1413
2022-07-08,1523
2022-07-09,1511
2022-07-10,2076
2022-07-11,1878
2022-07-12,2098
2022-07-13,1333
2022-07-14,3154
2022-07-15,2627
2022-07-16,1854
2022-07-17,1765
2022-07-18,1598
2022-07-19,1787
2022-07-20,1894
2022-07-21,1450
2022-07-22,1285
2022-07-23,1413
2022-07-24,1091
2022-07-25,1165
2022-07-26,1659
2022-07-27,1590
2022-07-28,1432
2022-07-29,1239
2022-07-30,1104
2022-07-31,2132
2022-08-01,2112
2022-08-02,2011
2022-08-03,1972
2022-08-04,1760
2022-08-05,1686
2022-08-06,1253
2022-08-07,909
2022-08-08,1107
2022-08-09,1125
2022-08-10,1025
2022-08-11,1000
2022-08-12,1021
2022-08-13,919
2022-08-14,837
2022-08-15,1008
2022-08-16,1255
2022-08-17,1145
2022-08-18,1142
2022-08-19,1111
2022-08-20,1004
2022-08-21,934
2022-08-22,1029
2022-08-23,1128
2022-08-24,1108
2022-08-25,1081
2022-08-26,931
2022-08-27,810
2022-08-28,828
2022-08-29,975
2022-08-30,991
2022-08-31,850
2022-09-01,908
2022-09-02,996
2022-09-03,1026
2022-09-04,976
2022-09-05,1167
2022-09-06,1279
2022-09-07,1228
2022-09-08,1157
2022-09-09,1089
2022-09-10,946
2022-09-11,1256
2022-09-12,1318
2022-09-13,1313
2022-09-14,1284
2022-09-15,2531
2022-09-16,1710
2022-09-17,1473
2022-09-18,1081
2022-09-19,1168
2022-09-20,1300
2022-09-21,1265
2022-09-22,1097
2022-09-23,836
2022-09-24,780
2022-09-25,829
2022-09-26,1087
2022-09-27,1178
2022-09-28,1022
2022-09-29,862
2022-09-30,1069
2022-10-01,1056
2022-10-02,1584
2022-10-03,1601
2022-10-04,1275
2022-10-05,972
2022-10-06,800
2022-10-07,858
2022-10-08,775
2022-10-09,792
